conv_layer_1;conv_layer_2;dense_layer_1;dense_layer_2;drop_out_1;drop_out_2;id_simu
16;16;16;16;0.2;0.2;0
16;16;16;16;0.2;0.3;1
16;16;16;16;0.2;0.4;2
16;16;16;16;0.2;0.5;3
16;16;16;16;0.3;0.2;4
16;16;16;16;0.3;0.3;5
16;16;16;16;0.3;0.4;6
16;16;16;16;0.3;0.5;7
16;16;16;16;0.4;0.2;8
16;16;16;16;0.4;0.3;9
16;16;16;16;0.4;0.4;10
16;16;16;16;0.4;0.5;11
16;16;16;16;0.5;0.2;12
16;16;16;16;0.5;0.3;13
16;16;16;16;0.5;0.4;14
16;16;16;16;0.5;0.5;15
16;16;16;32;0.2;0.2;16
16;16;16;32;0.2;0.3;17
16;16;16;32;0.2;0.4;18
16;16;16;32;0.2;0.5;19
16;16;16;32;0.3;0.2;20
16;16;16;32;0.3;0.3;21
16;16;16;32;0.3;0.4;22
16;16;16;32;0.3;0.5;23
16;16;16;32;0.4;0.2;24
16;16;16;32;0.4;0.3;25
16;16;16;32;0.4;0.4;26
16;16;16;32;0.4;0.5;27
16;16;16;32;0.5;0.2;28
16;16;16;32;0.5;0.3;29
16;16;16;32;0.5;0.4;30
16;16;16;32;0.5;0.5;31
16;16;16;64;0.2;0.2;32
16;16;16;64;0.2;0.3;33
16;16;16;64;0.2;0.4;34
16;16;16;64;0.2;0.5;35
16;16;16;64;0.3;0.2;36
16;16;16;64;0.3;0.3;37
16;16;16;64;0.3;0.4;38
16;16;16;64;0.3;0.5;39
16;16;16;64;0.4;0.2;40
16;16;16;64;0.4;0.3;41
16;16;16;64;0.4;0.4;42
16;16;16;64;0.4;0.5;43
16;16;16;64;0.5;0.2;44
16;16;16;64;0.5;0.3;45
16;16;16;64;0.5;0.4;46
16;16;16;64;0.5;0.5;47
16;16;32;16;0.2;0.2;48
16;16;32;16;0.2;0.3;49
16;16;32;16;0.2;0.4;50
16;16;32;16;0.2;0.5;51
16;16;32;16;0.3;0.2;52
16;16;32;16;0.3;0.3;53
16;16;32;16;0.3;0.4;54
16;16;32;16;0.3;0.5;55
16;16;32;16;0.4;0.2;56
16;16;32;16;0.4;0.3;57
16;16;32;16;0.4;0.4;58
16;16;32;16;0.4;0.5;59
16;16;32;16;0.5;0.2;60
16;16;32;16;0.5;0.3;61
16;16;32;16;0.5;0.4;62
16;16;32;16;0.5;0.5;63
16;16;32;32;0.2;0.2;64
16;16;32;32;0.2;0.3;65
16;16;32;32;0.2;0.4;66
16;16;32;32;0.2;0.5;67
16;16;32;32;0.3;0.2;68
16;16;32;32;0.3;0.3;69
16;16;32;32;0.3;0.4;70
16;16;32;32;0.3;0.5;71
16;16;32;32;0.4;0.2;72
16;16;32;32;0.4;0.3;73
16;16;32;32;0.4;0.4;74
16;16;32;32;0.4;0.5;75
16;16;32;32;0.5;0.2;76
16;16;32;32;0.5;0.3;77
16;16;32;32;0.5;0.4;78
16;16;32;32;0.5;0.5;79
16;16;32;64;0.2;0.2;80
16;16;32;64;0.2;0.3;81
16;16;32;64;0.2;0.4;82
16;16;32;64;0.2;0.5;83
16;16;32;64;0.3;0.2;84
16;16;32;64;0.3;0.3;85
16;16;32;64;0.3;0.4;86
16;16;32;64;0.3;0.5;87
16;16;32;64;0.4;0.2;88
16;16;32;64;0.4;0.3;89
16;16;32;64;0.4;0.4;90
16;16;32;64;0.4;0.5;91
16;16;32;64;0.5;0.2;92
16;16;32;64;0.5;0.3;93
16;16;32;64;0.5;0.4;94
16;16;32;64;0.5;0.5;95
16;16;64;16;0.2;0.2;96
16;16;64;16;0.2;0.3;97
16;16;64;16;0.2;0.4;98
16;16;64;16;0.2;0.5;99
16;16;64;16;0.3;0.2;100
16;16;64;16;0.3;0.3;101
16;16;64;16;0.3;0.4;102
16;16;64;16;0.3;0.5;103
16;16;64;16;0.4;0.2;104
